Date,Location,Rainfall,Month
3/02/2016,Melbourne,NA,2
4/02/2016,Melbourne,NA,2
5/02/2016,Melbourne,NA,2
6/02/2016,Melbourne,NA,2
7/02/2016,Melbourne,NA,2
8/02/2016,Melbourne,NA,2
9/02/2016,Melbourne,NA,2
10/02/2016,Melbourne,NA,2
11/02/2016,Melbourne,NA,2
12/02/2016,Melbourne,NA,2
13/02/2016,Melbourne,NA,2
14/02/2016,Melbourne,NA,2
15/02/2016,Melbourne,NA,2
16/02/2016,Melbourne,NA,2
17/02/2016,Melbourne,NA,2
18/02/2016,Melbourne,NA,2
19/02/2016,Melbourne,NA,2
20/02/2016,Melbourne,NA,2
21/02/2016,Melbourne,NA,2
22/02/2016,Melbourne,NA,2
23/02/2016,Melbourne,NA,2
24/02/2016,Melbourne,NA,2
25/02/2016,Melbourne,NA,2
26/02/2016,Melbourne,NA,2
27/02/2016,Melbourne,NA,2
28/02/2016,Melbourne,NA,2
29/02/2016,Melbourne,NA,2
1/03/2016,Melbourne,NA,3
2/03/2016,Melbourne,NA,3
3/03/2016,Melbourne,NA,3
4/03/2016,Melbourne,NA,3
5/03/2016,Melbourne,NA,3
6/03/2016,Melbourne,NA,3
7/03/2016,Melbourne,NA,3
8/03/2016,Melbourne,NA,3
9/03/2016,Melbourne,NA,3
10/03/2016,Melbourne,NA,3
11/03/2016,Melbourne,NA,3
12/03/2016,Melbourne,NA,3
13/03/2016,Melbourne,NA,3
14/03/2016,Melbourne,NA,3
15/03/2016,Melbourne,NA,3
16/03/2016,Melbourne,NA,3
17/03/2016,Melbourne,NA,3
18/03/2016,Melbourne,NA,3
19/03/2016,Melbourne,NA,3
20/03/2016,Melbourne,NA,3
21/03/2016,Melbourne,NA,3
22/03/2016,Melbourne,NA,3
23/03/2016,Melbourne,NA,3
24/03/2016,Melbourne,NA,3
25/03/2016,Melbourne,NA,3
26/03/2016,Melbourne,NA,3
27/03/2016,Melbourne,NA,3
28/03/2016,Melbourne,NA,3
29/03/2016,Melbourne,NA,3
30/03/2016,Melbourne,NA,3
31/03/2016,Melbourne,NA,3
1/04/2016,Melbourne,NA,4
2/04/2016,Melbourne,NA,4
3/04/2016,Melbourne,NA,4
4/04/2016,Melbourne,NA,4
5/04/2016,Melbourne,NA,4
6/04/2016,Melbourne,NA,4
7/04/2016,Melbourne,NA,4
8/04/2016,Melbourne,NA,4
9/04/2016,Melbourne,NA,4
10/04/2016,Melbourne,NA,4
11/04/2016,Melbourne,NA,4
12/04/2016,Melbourne,NA,4
13/04/2016,Melbourne,NA,4
14/04/2016,Melbourne,NA,4
15/04/2016,Melbourne,NA,4
16/04/2016,Melbourne,NA,4
17/04/2016,Melbourne,NA,4
18/04/2016,Melbourne,NA,4
19/04/2016,Melbourne,NA,4
20/04/2016,Melbourne,NA,4
21/04/2016,Melbourne,NA,4
22/04/2016,Melbourne,NA,4
23/04/2016,Melbourne,NA,4
24/04/2016,Melbourne,NA,4
25/04/2016,Melbourne,NA,4
26/04/2016,Melbourne,NA,4
27/04/2016,Melbourne,NA,4
28/04/2016,Melbourne,NA,4
29/04/2016,Melbourne,NA,4
30/04/2016,Melbourne,NA,4
1/05/2016,Melbourne,9.8,5
2/05/2016,Melbourne,0.4,5
3/05/2016,Melbourne,0,5
4/05/2016,Melbourne,0.2,5
5/05/2016,Melbourne,0,5
6/05/2016,Melbourne,0,5
7/05/2016,Melbourne,0,5
8/05/2016,Melbourne,5.4,5
9/05/2016,Melbourne,0.8,5
10/05/2016,Melbourne,12,5
11/05/2016,Melbourne,0.2,5
12/05/2016,Melbourne,0.2,5
13/05/2016,Melbourne,0,5
14/05/2016,Melbourne,0,5
15/05/2016,Melbourne,0,5
16/05/2016,Melbourne,0,5
17/05/2016,Melbourne,0.2,5
18/05/2016,Melbourne,0,5
19/05/2016,Melbourne,0,5
20/05/2016,Melbourne,1.8,5
21/05/2016,Melbourne,0,5
22/05/2016,Melbourne,0,5
23/05/2016,Melbourne,2.2,5
24/05/2016,Melbourne,1.8,5
25/05/2016,Melbourne,0,5
26/05/2016,Melbourne,12.4,5
27/05/2016,Melbourne,4.8,5
28/05/2016,Melbourne,0.6,5
29/05/2016,Melbourne,4.2,5
30/05/2016,Melbourne,0,5
31/05/2016,Melbourne,0,5
1/06/2016,Melbourne,0,6
2/06/2016,Melbourne,0,6
3/06/2016,Melbourne,0,6
4/06/2016,Melbourne,6.2,6
5/06/2016,Melbourne,3.4,6
6/06/2016,Melbourne,1.4,6
7/06/2016,Melbourne,0,6
8/06/2016,Melbourne,1.2,6
9/06/2016,Melbourne,1.4,6
10/06/2016,Melbourne,0,6
11/06/2016,Melbourne,3,6
12/06/2016,Melbourne,0.6,6
13/06/2016,Melbourne,0,6
14/06/2016,Melbourne,0,6
15/06/2016,Melbourne,0,6
16/06/2016,Melbourne,0,6
17/06/2016,Melbourne,4.2,6
18/06/2016,Melbourne,8.6,6
19/06/2016,Melbourne,0.4,6
20/06/2016,Melbourne,3.6,6
21/06/2016,Melbourne,3.2,6
22/06/2016,Melbourne,0,6
23/06/2016,Melbourne,0.6,6
24/06/2016,Melbourne,13.8,6
25/06/2016,Melbourne,2,6
26/06/2016,Melbourne,0.2,6
27/06/2016,Melbourne,0.2,6
28/06/2016,Melbourne,0.2,6
29/06/2016,Melbourne,0.2,6
30/06/2016,Melbourne,0,6
1/07/2016,Melbourne,6.4,7
2/07/2016,Melbourne,0.2,7
3/07/2016,Melbourne,0,7
4/07/2016,Melbourne,0,7
5/07/2016,Melbourne,0.6,7
6/07/2016,Melbourne,22.6,7
7/07/2016,Melbourne,3.8,7
8/07/2016,Melbourne,0.8,7
9/07/2016,Melbourne,0.2,7
10/07/2016,Melbourne,0,7
11/07/2016,Melbourne,3.6,7
12/07/2016,Melbourne,0,7
13/07/2016,Melbourne,0.4,7
14/07/2016,Melbourne,1,7
15/07/2016,Melbourne,0,7
16/07/2016,Melbourne,0,7
17/07/2016,Melbourne,0,7
18/07/2016,Melbourne,0,7
19/07/2016,Melbourne,0,7
20/07/2016,Melbourne,1.8,7
21/07/2016,Melbourne,1.8,7
22/07/2016,Melbourne,7.8,7
23/07/2016,Melbourne,2.8,7
24/07/2016,Melbourne,0.8,7
25/07/2016,Melbourne,0,7
26/07/2016,Melbourne,4.8,7
27/07/2016,Melbourne,0.4,7
28/07/2016,Melbourne,0,7
29/07/2016,Melbourne,0,7
30/07/2016,Melbourne,2.4,7
31/07/2016,Melbourne,2,7
1/08/2016,Melbourne,2.8,8
2/08/2016,Melbourne,14.4,8
3/08/2016,Melbourne,2.8,8
4/08/2016,Melbourne,0.8,8
5/08/2016,Melbourne,0,8
6/08/2016,Melbourne,0,8
7/08/2016,Melbourne,0,8
8/08/2016,Melbourne,0,8
9/08/2016,Melbourne,0,8
10/08/2016,Melbourne,0,8
11/08/2016,Melbourne,8.2,8
12/08/2016,Melbourne,0,8
13/08/2016,Melbourne,1.6,8
14/08/2016,Melbourne,0.2,8
15/08/2016,Melbourne,0,8
16/08/2016,Melbourne,0,8
17/08/2016,Melbourne,0.4,8
18/08/2016,Melbourne,0,8
19/08/2016,Melbourne,0.2,8
20/08/2016,Melbourne,9.4,8
21/08/2016,Melbourne,1.2,8
22/08/2016,Melbourne,5.6,8
23/08/2016,Melbourne,11,8
24/08/2016,Melbourne,0,8
25/08/2016,Melbourne,1.2,8
26/08/2016,Melbourne,0.6,8
27/08/2016,Melbourne,0,8
28/08/2016,Melbourne,0,8
29/08/2016,Melbourne,0,8
30/08/2016,Melbourne,0,8
31/08/2016,Melbourne,0.8,8
1/09/2016,Melbourne,0,9
2/09/2016,Melbourne,0.4,9
3/09/2016,Melbourne,0.2,9
4/09/2016,Melbourne,0.2,9
5/09/2016,Melbourne,0,9
6/09/2016,Melbourne,0,9
7/09/2016,Melbourne,0,9
8/09/2016,Melbourne,0,9
9/09/2016,Melbourne,0.6,9
10/09/2016,Melbourne,9.4,9
11/09/2016,Melbourne,1.2,9
12/09/2016,Melbourne,1.6,9
13/09/2016,Melbourne,9,9
14/09/2016,Melbourne,20.6,9
15/09/2016,Melbourne,2,9
16/09/2016,Melbourne,13.4,9
17/09/2016,Melbourne,0,9
18/09/2016,Melbourne,0.4,9
19/09/2016,Melbourne,0.2,9
20/09/2016,Melbourne,0,9
21/09/2016,Melbourne,1.2,9
22/09/2016,Melbourne,1.2,9
23/09/2016,Melbourne,0.6,9
24/09/2016,Melbourne,0,9
25/09/2016,Melbourne,5.8,9
26/09/2016,Melbourne,0.6,9
